"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15946","Login button opens the login form","chromium","2026-06-16","passed","2026-06-16","[CYSEC EL] Header auth entry","header\header-auth.spec.ts","",""
"","15020","[tiles_w_img_btn2_signup] opens the sign up form","chromium","2026-06-16","skipped","2026-06-16","[CYSEC EN] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15992","Country dropdown opens with a search box","chromium","2026-06-16","passed","2026-06-16","[CYSEC DE] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8492","[background_banner_block_btn1_signup] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB FR] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8549","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANT] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8439","[tiles_w_img_btn2_signup] opens the sign up form","chromium","2026-06-16","skipped","2026-06-16","[SCB ZH_HANT] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15575","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC EN] Trading / Learn / Trading psychology","content\trading.spec.ts","",""
"","15293","[tiles_w_img_btn2_signup] opens the sign up form","chromium","2026-06-16","skipped","2026-06-16","[CYSEC IT] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","10800","Regional settings opens","chromium","2026-06-16","passed","2026-06-16","[SCB AR] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9168","Albania can be selected","chromium","2026-06-16","passed","2026-06-16","[SCB ES] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15872","Cyprus appears in the country search results","chromium","2026-06-16","passed","2026-06-16","[CYSEC HU] Header regional settings","header\header-regional-settings.spec.ts","",""
"","16116","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC EL] Trading / Learn / All resources","content\trading.spec.ts","",""
"","8387","[background_banner_block_btn1_signup] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANS] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8646","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB AR] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8544","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANT] Trading / Learn / Technical analysis","content\trading.spec.ts","",""
"","8751","Entity matches the license","chromium","2026-06-16","passed","2026-06-16","[SCB VI] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15141","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC IT] Trading / Learn / Trading psychology","content\trading.spec.ts","",""
"","8685","Entity matches the license","chromium","2026-06-16","passed","2026-06-16","[SCB RU] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8377","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB AR] Trading / Learn / All resources","content\trading.spec.ts","",""
"","20095","Regional settings opens","chromium","2026-06-16","passed","2026-06-16","[SCB RU] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15573","Country dropdown opens with a search box","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANT] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15642","Logo opens main page","chromium","2026-06-16","passed","2026-06-16","[CYSEC PL] Header navigation","header\header-navigation.spec.ts","",""
"","8330","[tiles_w_img_btn2_signup] opens the sign up form","chromium","2026-06-16","skipped","2026-06-16","[SCB ZH_HANS] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8514","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB AR] Trading / Learn / Technical analysis","content\trading.spec.ts","",""
"","17289","Switching language keeps the license","chromium","2026-06-16","passed","2026-06-16","[CYSEC NL] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9026","Albania appears in the country search results","chromium","2026-06-16","passed","2026-06-16","[SCB AR] Header regional settings","header\header-regional-settings.spec.ts","",""
"","10802","Switching language keeps the license","chromium","2026-06-16","passed","2026-06-16","[SCB FR] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8613","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANT] Trading / Learn / All resources","content\trading.spec.ts","",""
"","15257","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC EN] Pricing / Pricing","content\pricing.spec.ts","",""
"","8483","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[FCA EN] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","23838","Switching language keeps the license","chromium","2026-06-16","passed","2026-06-16","[CYSEC DE] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8429","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB ES] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15105","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC IT] Trading / Learn / All resources","content\trading.spec.ts","",""
"","15889","Country dropdown opens with a search box","chromium","2026-06-16","passed","2026-06-16","[CYSEC FR] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8353","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANS] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15177","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC PL] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15669","Open account button opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC PL] Header auth entry","header\header-auth.spec.ts","",""
"","15055","[background_banner_block_btn1_signup] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC HU] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8450","[background_banner_block_btn1_signup] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[ASIC EN] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8800","Open account button opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CMA EN] Header auth entry","header\header-auth.spec.ts","",""
"","15880","Cyprus appears in the country search results","chromium","2026-06-16","passed","2026-06-16","[CYSEC FR] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9280","Logo opens main page","chromium","2026-06-16","passed","2026-06-16","[SCB DE] Header navigation","header\header-navigation.spec.ts","",""
"","9609","Country dropdown opens with a search box","chromium","2026-06-16","passed","2026-06-16","[SCB AR] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15709","Login button opens the login form","chromium","2026-06-16","passed","2026-06-16","[CYSEC RO] Header auth entry","header\header-auth.spec.ts","",""
"","16652","Cyprus can be selected","chromium","2026-06-16","passed","2026-06-16","[CYSEC DE] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9219","Login button opens the login form","chromium","2026-06-16","passed","2026-06-16","[SCB MN] Header auth entry","header\header-auth.spec.ts","",""
"","9051","Country dropdown opens with a search box","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANS] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15439","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC EL] Trading / Learn / Trading psychology","content\trading.spec.ts","",""
"","9186","Open account button opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB DE] Header auth entry","header\header-auth.spec.ts","",""
"","8619","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB RU] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","9218","Albania appears in the country search results","chromium","2026-06-16","passed","2026-06-16","[SCB RU] Header regional settings","header\header-regional-settings.spec.ts","",""
"","16865","Switching language keeps the license","chromium","2026-06-16","passed","2026-06-16","[CYSEC HU] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8786","Open account button opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB VI] Header auth entry","header\header-auth.spec.ts","",""
"","15798","Regional settings opens","chromium","2026-06-16","passed","2026-06-16","[CYSEC IT] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15859","Country dropdown opens with a search box","chromium","2026-06-16","passed","2026-06-16","[CYSEC NL] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8801","Entity matches the license","chromium","2026-06-16","passed","2026-06-16","[CMA EN] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15005","[tiles_w_img_btn2_signup] opens the sign up form","chromium","2026-06-16","skipped","2026-06-16","[CYSEC NL] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15050","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC EL] Trading / Learn / All resources","content\trading.spec.ts","",""
"","9121","Albania can be selected","chromium","2026-06-16","passed","2026-06-16","[SCB FR] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15412","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC NL] Trading / Learn / Trading psychology","content\trading.spec.ts","",""
